Timestamp,Gender,Faculty,Law Program,Bachelor  Academic Year in EU,Masters Academic Year in EU,H.S.C or Equivalent study medium,S.S.C (GPA),H.S.C (GPA),Did you ever attend a Coaching center?,Coaching center name,Benifits you received from the coaching center,1st Year Semester 1,1st Year Semester 2,1st Year Semester 3,2nd Year Semester 1,2nd Year Semester 2,2nd Year Semester 3,3rd Year Semester 1,3rd Year Semester 2,3rd Year Semester 3,4th Year Semester 1,4th Year Semester 2,4th Year Semester 3,Regular/Irregular,Classes are mostly,Area of Evaluation [Department provides comprehensive guidelines to the students in advance by means of a brochure/handbook    ],Area of Evaluation [Department ensures a conducive learning environment],Area of Evaluation [Academic decisions are taken with fairness and transparency],Area of Evaluation [	Academic calendar is maintained properly],Area of Evaluation [Results are published timely in compliance with the ordinance],Area of Evaluation [Students opinion regarding academic and extra-academic matters are addressed properly],Area of Evaluation [Student feedback process is in practice],Area of Evaluation [Website is informative and updated properly],Area of Evaluation [Curriculum load is optimum and induces no pressure],Area of Evaluation [Courses in the curriculum from lower level to higher are properly arranged],Area of Evaluation [Teaching strategies are clearly stated in the curriculumsparency],Area of Evaluation [Assessment strategies are clearly stated in the curriculum ],Item [Teaching-learning is interactive and supportive ],Item [	Class size is optimum for interactive teaching learning],Item [	Modern devices are used to improve teaching-learning process],Item [Diverse methods are used to achieve learning objectives ],Item [Lesson plans/course outlines are provided in advance to the students ],Item [	All about assessment system are duly communicated to students on the commencement of the term/semester],Item [Assessment system meets the objectives of the course],Item [Diverse methods and tools are used for assessment.],Item [Assessment feedback is provided to the students immediately.],Item [The questions of examinations reflect the content of the course.],"Item [	Both formative (quizzes, assignments, term papers, continuous assessments, presentations etc.) and summative assessment (final examination only) strategies are followed.]",Item [Admission policy ensures entry of quality students.],Item [Admission procedure is quite fair],Item [Sincerity and commitment of the students exist to ensure desired progress and achievement.],Item [Overall classroom facilities are suitable for ensuring effective learning.],Item [Laboratories facilities are suitable for practical teaching-learning and research],Item [The library has adequate up-to-date reading and reference materials to meet the academic & research needs ],Item [Internet facilities with sufficient speed are available],Item [Adequate indoor and outdoor medical facilities are available],Item [Adequate indoor and outdoor game facilities are available],Item [Existing gymnasium facilities are good enough],Item [Adequate safety measures are available],Item [There is an arrangement to provide guidance and counseling. ],Item [Mentoring is done to take care of the students],Item [Scholarships/ grants available to students in case of hardship],Item [Students are encouraged to involve in co- curricular and extra-curricular activities],Item [Alumni are organized and supportive.],Item [Supporting staff are adequate and co-operative],Item [There are opportunities to get involve with community services],Item [The department has a research and development policy ],Item [Mechanism exists for engaging the students in research and development],"Item [Research findings in the form of theses, publications and monographs are properly used in current teaching-learning]",Item [The department has a community service policy ],Q1 [What was your expectation about the University as related to quality of education?],Q2 [What was your expectation about the University as related to quality of Faculty?],Q3 [What was your expectation about the University as related to quality of resources?],Q4 [What was your expectation about the University as related to quality of learning environment?],Q5 [To what extent your expectation was met?],Q6 [What are the best aspects of the program?],"Q7. In your opinion,the best aspect of the program is","Q8. In your opinion,the next best aspect of the program is",What aspects of the program could be improved?,Do you feel that the quality of education improved at EU over the last year?,Do you feel that the image of the University improved over the last year?,Username
3/22/2016 14:08,Male,Law,LL.B (Hons),4th Year,,Bangla Medium,3.19,3.6,No,,,2.5,2.33,2.88,2.94,2.0,2.88,2.0,2.5,,,,,0.0,Lecture & Discussion,3.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,Faculty,Resources,Overall learning environment,No,No,
3/22/2016 14:13,Male,Law,LL.B (Hons),2nd Year,,Bangla Medium,5.0,4.6,Yes,omeca coaching centre,It prepared me better for the exam,3.6,3.5,3.5,,,,,,,,,,0.0,Lecture & Discussion,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,3.0,Teaching/Learning,Faculty,Resources,Yes,Yes,
3/22/2016 14:24,Male,Law,LL.B (Hons),4th Year,,Bangla Medium,3.81,3.4,No,,,2.4,2.11,2.75,2.75,3.11,3.56,3.0,3.06,3.31,,,,0.0,Lecture based,5.0,5.0,5.0,2.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,Faculty,Teaching/Learning,Teaching/Learning,Yes,Yes,
3/22/2016 14:30,Female,Law,LL.B (Hons),2nd Year,,Bangla Medium,3.13,2.6,No,,,3.75,3.84,3.63,3.94,,,,,,,,,0.0,Lecture & Discussion,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,1.0,1.0,3.0,5.0,3.0,4.0,4.0,3.0,2.0,Teaching/Learning,Faculty,Teaching/Learning,No,No,
3/22/2016 16:55,Female,Law,LL.B (Hons),1st Year,,Bangla Medium,5.0,4.1,Yes,UCC,It prepared me better for the exam,4.0,,,,,,,,,,,,0.0,Lecture & Discussion,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,Faculty,Teaching/Learning,Overall learning environment,,Yes,
3/22/2016 17:18,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,4.25,3.8,Yes,ucc,It prepared me better for the exam,3.68,,,,,,,,,,,,0.0,Lecture based,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Faculty,Faculty,Faculty,Yes,Yes,
3/27/2016 14:44,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,3.88,3.0,No,,,2.92,,,,,,,,,,,,0.0,Lecture based,,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Teaching/Learning,Faculty,Other,Yes,Yes,
3/27/2016 14:45,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,4.0,5.0,No,,,3.19,,,,,,,,,,,,0.0,Lecture based,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0,Faculty,Teaching/Learning,Overall learning environment,,,
3/27/2016 15:11,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,5.0,3.17,Yes,Saifurs ,It increased my desire to learn,3.25,,,,,,,,,,,,0.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,,,Faculty,Yes,Yes,
3/27/2016 15:15,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,3.44,3.7,Yes,ucc,It prepared me better for the exam,3.15,,,,,,,,,,,,0.0,Lecture based,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,5.0,4.0,3.0,2.0,1.0,5.0,4.0,4.0,4.0,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Faculty,Faculty,Faculty,Yes,Yes,
3/27/2016 15:21,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,3.38,3.17,No,,,2.92,,,,,,,,,,,,0.0,Lecture & Discussion,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,Teaching/Learning,Faculty,"Overall learning environment, Other",Yes,Yes,
3/27/2016 15:29,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,5.0,4.5,No,,,3.92,,,,,,,,,,,,0.0,Lecture & Discussion,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,Teaching/Learning,Teaching/Learning,Other,Yes,Yes,
3/27/2016 15:42,Female,Law,LL.B (Hons),1st Year,,Bangla Medium,4.3,4.42,Yes,Ehaque coching center,It improved my GPA Score,2.95,,,,,,,,,,,,0.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Teaching/Learning,Faculty,Other,Yes,Yes,
3/27/2016 15:49,Male,Law,,,,Bangla Medium,3.5,3.5,No,,,,,,,,,,2.89,,,,,0.0,Lecture & Discussion,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Teaching/Learning,Overall learning environment,Teaching/Learning,Yes,No,
3/27/2016 15:50,Male,Law,LL.B (Hons),2nd Year,,Bangla Medium,3.69,4.3,Yes,UCC ,It allow me to make good friends,3.0,2.88,2.79,2.69,,,,,,,,,0.0,Lecture & Discussion,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Faculty,Teaching/Learning,Teaching/Learning,Yes,Yes,
3/27/2016 15:50,Male,Law,LL.B (Hons),3rd Year,,Bangla Medium,3.5,2.8,No,,,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.8,,,,,0.0,"Lecture,Discussion & Practical Lab",4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,3.0,2.0,1.0,Teaching/Learning,Faculty,Faculty,No,Yes,
3/27/2016 15:52,Male,Law,LL.B (Hons),2nd Year,,Bangla Medium,4.0,3.0,No,,,3.18,3.17,3.15,3.01,,,,,,,,,0.0,"Lecture,Discussion & Practical Lab",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,Teaching/Learning,Teaching/Learning,Overall learning environment,Yes,Yes,
3/27/2016 15:53,Male,Law,LL.B (Hons),3rd Year,,Bangla Medium,2.86,4.94,No,,,2.1,2.22,2.25,2.57,2.75,2.86,2.94,2.88,2.98,3.0,3.0,3,0.0,Lecture & Discussion,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Faculty,Faculty,"Faculty, Teaching/Learning",Yes,Yes,
3/27/2016 15:53,Male,Law,LL.B (Hons),3rd Year,,Bangla Medium,4.0,3.0,No,,,3.5,3.75,3.6,3.4,3.2,3.36,3.0,3.0,3.0,,,,0.0,"Lecture,Discussion & Practical Lab",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Faculty,Overall learning environment,"Faculty, Teaching/Learning, Overall learning environment",Yes,Yes,
3/27/2016 15:54,Male,Law,LL.B (Hons),3rd Year,,Bangla Medium,3.81,3.5,Yes,ucc,It increased my desire to learn,3.0,3.0,3.0,3.0,3.0,3.0,2.8,3.0,,,,,0.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Faculty,Teaching/Learning,Faculty,Yes,Yes,
3/27/2016 15:57,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,4.38,5.0,No,,,3.1,,,,,,,,,,,,0.0,Lecture & Discussion,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Teaching/Learning,Teaching/Learning,Teaching/Learning,Yes,Yes,
3/27/2016 16:01,Female,Law,LL.B (Hons),1st Year,,Bangla Medium,3.88,3.58,No,,,,,,,,,,,,,,,0.0,"Lecture,Discussion & Practical Lab",5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Faculty,Teaching/Learning,Overall learning environment,,,
3/27/2016 16:01,Male,Law,LL.B (Hons),2nd Year,,Bangla Medium,5.0,3.9,Yes,UCC,It prepared me better for the exam,3.94,3.91,3.9,3.87,,,,,,,,,0.0,"Lecture,Discussion & Practical Lab",5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,Faculty,Teaching/Learning,Overall learning environment,Yes,Yes,
3/27/2016 16:02,Male,Law,LL.B (Hons),2nd Year,,Bangla Medium,3.5,3.44,No,,,2.0,,,,,,,,,,,,0.0,"Lecture,Discussion & Practical Lab",5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Teaching/Learning,Teaching/Learning,Teaching/Learning,Yes,Yes,
3/27/2016 16:03,Male,Law,LL.B (Hons),1st Year,,Madrasa,5.0,5.0,Yes,saifur's,It prepared me better for the exam,2.88,2.37,,,,,,,,,,,0.0,Lecture based,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,5.0,5.0,5.0,5.0,,5.0,5.0,,,,,5.0,5.0,4.0,4.0,5.0,5.0,,,,,,
3/27/2016 16:03,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,3.44,4.6,No,,,3.36,3.28,3.75,,,,,,,,,,0.0,Lecture & Discussion,5.0,5.0,,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,Teaching/Learning,Overall learning environment,Teaching/Learning,Yes,Yes,
3/27/2016 16:04,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,3.0,4.27,No,,,1.54,,,,,,,,,,,,0.0,Lecture & Discussion,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Teaching/Learning,Teaching/Learning,Teaching/Learning,Yes,Yes,
3/27/2016 16:19,Male,Law,LL.B (Hons),3rd Year,,Bangla Medium,3.75,3.7,Yes,"united coaching center
 MABS",It prepared me better for the exam,3.0,3.0,3.3,2.8,3.0,3.0,3.0,3.4,2.8,,,,0.0,Lecture & Discussion,,,1.0,,5.0,,,,5.0,5.0,,5.0,5.0,4.0,4.0,5.0,5.0,,4.0,,,,,5.0,5.0,5.0,4.0,4.0,4.0,3.0,,2.0,,4.0,5.0,4.0,,4.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,4.0,4.0,5.0,Resources,Resources,Resources,Yes,Yes,
3/28/2016 12:16,Male,Law,LL.B (Hons),4th Year,,Bangla Medium,4.13,4.8,Yes,unidid,It prepared me better for the exam,3.32,3.42,3.69,,,,,,,,,,0.0,Lecture based,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,Faculty,Faculty,Faculty,Yes,Yes,
3/28/2016 14:09,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,3.56,3.07,No,,,2.75,,,,,,,,,,,,0.0,"Lecture,Discussion & Practical Lab",5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,2.0,4.0,1.0,1.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,Teaching/Learning,Faculty,"Faculty, Resources, Overall learning environment",,,
3/28/2016 14:10,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,3.31,4.41,,,,3.0,,,,,,,,,,,,0.0,"Lecture,Discussion & Practical Lab",5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,1.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,Faculty,Teaching/Learning,"Faculty, Overall learning environment",Yes,Yes,
3/28/2016 14:32,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,3.88,4.21,No,,,2.77,,,,,,,,,,,,0.0,Lecture & Discussion,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,Teaching/Learning,Teaching/Learning,Teaching/Learning,Yes,Yes,
3/28/2016 14:33,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,3.56,3.4,Yes,UCC,"It prepared me better for the exam, It improved my GPA Score",3.01,,,,,,,,,,,,0.0,Lecture based,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,,,Teaching/Learning,Yes,Yes,
3/28/2016 15:51,Male,Law,LL.B (Hons),1st Year,,Bangla Medium,5.0,5.0,No,,,3.94,,,,,,,,,,,,0.0,Lecture & Discussion,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,1.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,Faculty,Teaching/Learning,Overall learning environment,,,
3/28/2016 17:06,Female,Law,LL.B (Hons),2nd Year,,Bangla Medium,3.88,3.7,Yes,S@ifur's,It prepared me better for the exam,3.7,3.45,3.61,,,,,,,,,,0.0,Lecture & Discussion,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,5.0,3.0,4.0,4.0,,5.0,Faculty,Teaching/Learning,Overall learning environment,Yes,Yes,
